college_id,college_name,status,home_university
4196,Gurunanak Educational Society S Gurunanak Institute Of Technology Nagpur,Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
4197,Jai Mahakali Shikshan Sanstha Agnihotri College Of Engineering Sindhi(Meghe),Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
4285,V M Institute Of Engineering And Technology Dongargaon Nagpur,Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
4302,Gondia Education Society S Manoharbhai Patel Institute Of Engineering Technology Shahapur Bhandara,Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
4304,Cummins College Of Engineering For Women Sukhali (Gupchup) Tal. Hingna Hingna Nagpur,Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
4613,Suryodaya College Of Engineering Technology Nagpur,Un-Aided Autonomous,Autonomous Institute
4648,R.V. Parankar College Of Engineering Technology Arvi Dist Wardha,Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
4649,Bajaj Institute Of Technology Wardha,Un-Aided Linguistic Minority - Hindi,Rashtrasant Tukadoji Maharaj Nagpur University
4679,Karanjekar College Of Engineering Management Sakoli,Un-Aided,Rashtrasant Tukadoji Maharaj Nagpur University
5003,University Institute Of Chemical Technology North Maharashtra University Jalgaon,University Department,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon
5004,Government College Of Engineering Jalgaon,Government Autonomous,Autonomous Institute
5103,Shri Shivaji Vidya Prasarak Sanstha S Late Bapusaheb Shivaji Rao Deore College Of Engineering Dhule,Un-Aided,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon
5104,Shramsadhana Bombay Trust College Of Engineering Technology Jalgaon,Un-Aided,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon
5106,Khandesh College Education Society S College Of Engineering And Management Jalgaon,Un-Aided,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon
5108,Maratha Vidya Prasarak Samaj S Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering Nashik,Un-Aided Autonomous,Autonomous Institute
5109,Sandip Foundation Sandip Institute Of Technology And Research Centre Mahiravani Nashik,Un-Aided Autonomous,Autonomous Institute
5121,K. K. Wagh Institute Of Engineering Education And Research Nashik,Un-Aided Autonomous,Autonomous Institute
5124,Jagadamba Education Soc. Nashik S S.N.D. College Of Engineering Reserch Babulgaon,Un-Aided,Savitribai Phule Pune University
5125,Pravara Rural Education Society S Sir Visvesvaraya Institute Of Technology Chincholi Dist. Nashik,Un-Aided,Savitribai Phule Pune University
5130,Brahma Valley College Of Engineering Research Trimbakeshwar Nashik,Un-Aided,Savitribai Phule Pune University
5139,Pravara Rural College Of Engineering Loni Pravaranagar Ahmednagar.,Un-Aided,Savitribai Phule Pune University
5151,Met Bhujbal Knowledge City Met League S Engineering College Adgaon Nashik.,Un-Aided,Savitribai Phule Pune University
5152,G H Raisoni College Of Engineering And Management Jalgaon,Un-Aided Autonomous Linguistic Minority - Hindi,Autonomous Institute
5160,Sanjivani Rural Education Society S Sanjivani College Of Engineering Kopargaon,Un-Aided Autonomous,Autonomous Institute
5161,Dr. Vithalrao Vikhe Patil College Of Engineering Ahmednagar,Un-Aided,Savitribai Phule Pune University
5162,Amrutvahini Sheti Shikshan Vikas Sanstha S Amrutvahini College Of Engineering Sangamner,Un-Aided,Savitribai Phule Pune University
5164,P.S.G.V.P. Mandal S D.N. Patel College Of Engineering Shahada Dist. Nandurbar,Un-Aided Linguistic Minority - Gujar,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon
5168,T.M.E. Society S J.T.Mahajan College Of Engineering Faizpur,Un-Aided,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon
5169,Nagaon Education Society S Gangamai College Of Engineering Nagaon Tal Dist Dhule,Un-Aided,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon
5170,Hindi Seva Mandal S Shri Sant Gadgebaba College Of Engineering Technology Bhusawal,Un-Aided Linguistic Minority - Hindi,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon
5171,Godavari Foundation S Godavari College Of Engineering Jalgaon,Un-Aided,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon
5172,R. C. Patel Institute Of Technology Shirpur,Un-Aided Autonomous Linguistic Minority - Gujarathi,Autonomous Institute
5173,Snjb S Late Sau. Kantabai Bhavarlalji Jain College Of Engineering (Jain Gurukul) Neminagar Chandwad (Nashik),Un-Aided Autonomous Religious Minority - Jain,Autonomous Institute
5177,Matoshri College Of Engineering And Research Centre Eklahare Nashik,Un-Aided Autonomous,Autonomous Institute
5179,Vishwabharati Academy S College Of Engineering Ahmednagar,Un-Aided,Savitribai Phule Pune University
5181,Gokhale Education Society S R.H. Sapat College Of Engineering Management Studies And Research Nashik,Un-Aided,Savitribai Phule Pune University
5182,Kalyani Charitable Trust Late Gambhirrao Natuba Sapkal College Of Engineering Anjaneri Trimbakeshwar Road Nashik,Un-Aided,Savitribai Phule Pune University
5184,Amruta Vaishnavi Education Welfare Trust S Shatabdi Institute Of Engineering Research Agaskhind Tal. Sinnar,Un-Aided Religious Minority - Christian,Savitribai Phule Pune University
5244,Met S Institute Of Technology Polytechnic Bhujbal Knowledge City Adgaon Nashik,Un-Aided,Savitribai Phule Pune University
5256,Matoshri Education Soceity Matoshri Asarabai Polytechnic Nashik,Un-Aided,Savitribai Phule Pune University
5263,Matoshri Education Soceity Matoshri Institute Of Technology Dhanore Nashik,Un-Aided,Savitribai Phule Pune University
5303,Hon. Shri. Babanrao Pachpute Vichardhara Trust Group Of Institutions (Integrated Campus)-Parikrama Kashti Shrigondha,Un-Aided,Savitribai Phule Pune University
